title,compound,label
Happy Valley's Sarah Lancashire 'emotional' about OBE,0.5719,1
JK Rowling 'happy' about Johnny Depp casting,0.3885,1
Why so many people get offended by the phrase 'Happy holidays',0.6486,1
How happy is Chelsea boss Antonio Conte?,0.5719,1
Tiger Woods happy with Torrey Pines outing,0.5719,1
What makes us happy?,0.5719,1
McDonald's Cuts Cheeseburgers From Happy Meals,0.3612,1
Happy-go-lucky,0.0,0
Wales assistant Stuivenberg happy to challenge Giggs,0.6124,1
Rohingya Football Club to give 'happy news',0.5719,1
"A Wind Lover's Dream: All 57,636 U.S. Wind Turbines on One Map",0.25,1
"Delingpole: Happy Birthday, Karl Marx. Not.",0.5719,1
Apps Are Coming for Your Happy Hour,0.5719,1
Are captive dolphins 'happy'?,0.0,0
Are captive dolphins 'happy'?,0.0,0
'Happy Christmas Ange...',0.5719,1
How to be a happy timeshare owner,0.5719,1
Congressman: Separated migrant children 'happy' in facility,0.0,0
May's Brexit Leaves No One Happy,0.3612,1
Lemar 'very happy' to complete Atletico move,0.6115,1
title,compound,label
Nigel Farage dismisses 'clever people' who say that smoking kills,-0.128,0
Nigel Farage dismisses 'clever people' who say that smoking kills,-0.128,0
"WATCH – Bannon on Brexit: ‘You Can’t Just Vote for Your Country Back, You Have to Take It Back’",0.0,0
"Farage on Remembrance Day: ‘Embracing Our History, Nation, Will Bring Us Back the Society We Once Had’",0.0,0
UK chip startup Graphcore raised $50 million from Sequoia to help it build AI processors,0.4019,1
Nigel Farage forced to withdraw false claims about anti-racist group Hope not Hate,0.4401,1
Farage: Soros and EU Allies Engaged in ‘The Biggest Level of International Political Collusion in History’,0.4019,1
Nigel Farage forced to withdraw false claims about anti-racist group Hope not Hate,0.4401,1
Nigel Farage withdraws claim against Hope Not Hate,0.7094,1
Nigel Farage is most successful politician - Ken Clarke,0.624,1
Chief vet defends support of larger hen cages - BBC News,0.4019,1
Nigel Farage: It's not hypocrisy to take EU pension,0.0,0
Nigel Farage defends Donald Trump's Britain First tweets,0.0,0
Hermon denies being 'on Dublin's side' over Brexit,-0.4215,-1
Nigel Adkins: Hull City appoint former Southampton and Reading boss,0.0,0
Ali Omar Ader has been found guilty in Amanda Lindhout kidnapping,-0.4215,-1
Brexit: DUP deputy leader's 'no comment' on talks,-0.296,-1
Farage: Brexit Deal 'More Like a Surrender',0.4201,1
Nigel Farage reaction to UK and EU Brexit talks,0.0,0
"Theresa May 'dancing to EU's tune' over Brexit, says Farage",0.0,0
"EU news: Brexit, Farage, Juncker wiretap claims and Arnie",0.0,0
"Abuse, egg attacks, and a vandalised car -- Nigel Farage says his life is 'miserable' after Brexit",-0.7964,-1
"Abuse, egg attacks, and a vandalised car — Nigel Farage says his life is 'miserable' after Brexit",-0.7964,-1
"Abuse, egg attacks, and a vandalised car — Nigel Farage says his life is 'miserable' after Brexit",-0.7964,-1
Nigel Levine: British sprinter fails drugs test,-0.4215,-1
Farage: Sadiq Khan Should Stop ‘Grandstanding’ About Trump and Fight Crime,-0.8074,-1
Northern Ireland face tough Gold Coast challenge,-0.0516,0
Brexit: Nigel Farage to meet Barnier in Brussels,0.0,0
Brexit Architect Farage to Meet EU Chief Negotiator Barnier,0.0,0
"When Farage Met Barnier: EU Doesn't Get It, Says Brexit Backer",0.0,0
Nigel Farage on UKIP leader Henry Bolton press coverage,0.0,0
UKIP's Farage meets EU's Brexit negotiator Barnier,0.0,0
Now even Nigel Farage wants a second Brexit referendum,0.0,0
Now even Nigel Farage wants a second Brexit referendum,0.0,0
Nigel Farage warming to second EU referendum,0.1531,0
"Nigel Farage, Architect of Brexit, Calls for Second Referendum",0.0,0
Kassam Breaks with Farage over 2nd Referendum Call – ‘I Don’t Give a Monkey’s What Blair Wants’,0.0,0
Nigel Farage warming to second EU referendum,0.1531,0
Farage's about turn?,0.0,0
Newspaper headlines: EU referendum 'hope' and 'no Trump visit',-0.296,-1
A Farage-Umunna bustup over Trump,0.0,0
"Nigel Farage misspoke on second referendum, suggests UKIP leader",0.0,0
"Brexit Champion Farage Considers Starting New Party, Times Says",0.765,1
Could Brexit Champion Nigel Farage Return as Leader of UKIP?,0.5994,1
Nigel Farage: UKIP's Henry Bolton can emulate Corbyn,0.0,0
Farage Goes to Dublin to Champion ‘Irexit’,0.5994,1
Oxford Uni don says 'peer pressure' is stifling debate,-0.296,-1
New Zealand gannet 'no mates Nigel' dies alongside fake partner,-0.6486,-1
Nigel Farage: ‘If Ireland Wants To Be An Independent State It Can’t Stay Part of the EU’,0.0,0
"Six Nations Shuffle: Slips, skills, jigsaw-ish players & a last-gasp winner",0.5859,1
Nigel Levine: British sprinter provisionally suspended for failing drugs test,-0.7506,-1
Farage: Money Soros Gave to Anti-Brexit Campaign Is ‘The Tip of the Iceberg’,0.0,0
Salmon fisherman Nigel Mott due quota compensation,0.0,0
Nigel Farage backs embattled UKIP leader Henry Bolton after racism scandal,-0.802,-1
Farage Slams Osborne-Backed Plot to Overturn Brexit by Allowing 16-Year-Olds to Vote,0.0,0
Farage at CPAC: Don’t Judge Britain by Anti-Trump London Mayor and Leftists,0.0,0
"WATCH: Nigel Farage, Breitbart’s Raheem Kassam Speak at CPAC",0.0,0
Power sharing at Stormont unlikely to return soon - DUP,0.4215,1
BBC explains 'Nigel Owens is a gay' subtitling error,-0.4019,-1
West Brom: 'Where are the characters in the dressing room?',0.0,0
"‘Keep Going Orbán!’: Farage Blasts EU for Sanctioning Poland and Hungary, Ignoring Catalonia Violence",-0.7959,-1
Farage Leads 'Furious' Thames Fish-Flinging Protest at Parliament Against Brexit Deal - Breitbart News,-0.25,-1
Farage Slams Sky Journo For Suggesting Fishermen be Sacrificed for Banking,0.0,0
Higgs factory a 'must for big physics' - BBC News,0.0,0
Nigel Wray: Saracens chairman to reclaim full control of Premiership club,0.0,0
FARAGE: Political Correctness and ‘Hate Crime’ Obsession Caused Crime Wave,-0.7096,-1
Farage Joins Fishermen for Whitstable Boat-Burning at 5 P.M. as ‘Brexit Betrayal’ Protested Nationwide,-0.128,0
Pictures: Farage Joins Fishing Boat-Burning Protest Against May’s Brexit Betrayal,-0.7003,-1
Farage: Bombing ‘Bad Guy’ Assad Will Cause ‘Chaos’ and Help Terrorists,-0.34,-1
"Nigel Farage Slams Theresa May over Syria, Strikes ‘Not in National Interest’",-0.3612,-1
Campaign chief with ties to Cambridge Analytica compared Trump propaganda tactics to Hitler,-0.25,-1
Dunkin' Brands Is Getting Hit by Soaring Dairy and Vanilla Costs,0.0,0
50 great World Cup moments: Nigel de Jong's 'karate kick' on Xabi Alonso - 2010,0.6249,1
"Nigel Farage Grills Mark Zuckerberg on Facebook Censorship, Demands Transparency",0.0,0
Farage: ‘Facebook made Brexit possible – but Now It Is Discriminating Against Right-wing News Sites’,0.0,0
Nigel Farage to head 'down under' on Brexit tour,0.0,0
Farage Slams Labour for Post-Brexit Open Borders Move,0.0,0
Brexit campaigners deny taking Russian money after revelations of meetings with Russian ambassador,-0.34,-1
"‘Fifth Column’: EU Brexit Boss Demands Farage, Orban, Salvini Populists Be Shut Out",0.0,0
BREAKING: 'Allahu Akbar' Woman Carries Out Box Cutter Attack in Southern France,-0.4767,-1
